uri,name,album_name,release_date,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:24ainScgxd2UDayPsLzzm2,This Version of You (Live),The Last Goodbye Tour Live,2024-05-31,51,186400,0.17,0.428,-13.688,0.0559,0.0219,0.776,0.852,0.0542,109.954
spotify:track:4gKFQ6sGKfZr44NXw6wjym,Behind the Sun (Live),The Last Goodbye Tour Live,2024-05-31,55,189985,0.553,0.897,-7.085,0.0655,0.000315,0.857,0.927,0.1,140.029
spotify:track:2W0IElS3uccgQUXKAwVyAt,All We Need (Live) (ODESZA VIP Remix),The Last Goodbye Tour Live,2024-05-31,51,201954,0.594,0.759,-9.356,0.0333,0.0011,0.0364,0.821,0.264,99.983
spotify:track:4JK3JhyIl1icooy0uq37DA,Love Letter (Live) (ODESZA VIP Remix),The Last Goodbye Tour Live,2024-05-31,50,267545,0.58,0.759,-8.954,0.054,0.053,0.416,0.929,0.2,110.013
spotify:track:1ZVmGzftncwotIcJzkiTQK,Say My Name x Late Night (Live),The Last Goodbye Tour Live,2024-05-31,54,176459,0.398,0.832,-9.209,0.0989,0.00041,0.0877,0.715,0.37,115.782
spotify:track:2mOOT12V4TMB9O6p75Hehs,In the Rain (Live),The Last Goodbye Tour Live,2024-05-31,48,151384,0.575,0.814,-9.555,0.0467,0.000321,0.647,0.783,0.233,130.007
spotify:track:3mqmlOkyeU3hP1rERf6tjv,One Day They'll Know (Live) (ODESZA VIP Remix),The Last Goodbye Tour Live,2024-05-31,52,96053,0.271,0.879,-9.347,0.0749,7.34e-05,0.656,0.923,0.0769,143.382
spotify:track:2A0cPJCmtGITjsKAIhzEfo,Wide Awake (Live),The Last Goodbye Tour Live,2024-05-31,49,261978,0.582,0.644,-11.081,0.0367,0.0511,0.307,0.885,0.0581,125.003
spotify:track:1a73OJypd6sgDkAwA75NDX,Bloom (Live) (ODESZA VIP Remix),The Last Goodbye Tour Live,2024-05-31,49,214092,0.303,0.964,-8.727,0.0716,0.000651,0.822,0.424,0.0393,131.072
spotify:track:4tL49ueZxBPJD5Z9pmNCAL,Equal x Boy (Live),The Last Goodbye Tour Live,2024-05-31,50,268167,0.565,0.777,-9.853,0.0451,0.00205,0.394,0.916,0.124,139.987
spotify:track:1ZJiqlxrcILMONjWo9wwaW,All My Life (Live),The Last Goodbye Tour Live,2024-05-31,47,116759,0.0822,0.499,-14.124,0.0466,0.276,0.975,0.787,0.145,170.506
spotify:track:59aWxauGOAbQycO8GNK7LE,Better Now (Live),The Last Goodbye Tour Live,2024-05-31,48,161641,0.52,0.814,-11.027,0.0899,0.0492,1.2e-05,0.771,0.271,88.989
spotify:track:7q7B0VRgFKegcxO2Edzbi6,Line Of Sight (Live),The Last Goodbye Tour Live,2024-05-31,48,181843,0.406,0.753,-8.974,0.0439,0.00142,0.116,0.944,0.156,179.96
spotify:track:0PD6WTOfk9kBi6THqAaBKV,Forgive Me (Live) (ODESZA VIP Remix),The Last Goodbye Tour Live,2024-05-31,47,243413,0.629,0.777,-7.302,0.0279,0.00377,0.0333,0.85,0.306,104.998
spotify:track:5r06HL1g9lqxc5CAxBK7an,La Ciudad (Live) (ODESZA VIP Remix),The Last Goodbye Tour Live,2024-05-31,48,105046,0.647,0.938,-7.165,0.0747,0.000458,0.827,0.689,0.0594,108.017
spotify:track:7rwME0L7zpCwQgHcIwzbvt,Selfish Soul (Live) (ODESZA VIP Remix),The Last Goodbye Tour Live,2024-05-31,47,211440,0.624,0.856,-7.816,0.0408,0.00385,0.00203,0.457,0.142,106.976
spotify:track:4UU6fudp68mcPuUFJf1sNA,TENSE (Live),The Last Goodbye Tour Live,2024-05-31,46,194464,0.489,0.898,-9.77,0.173,0.00221,0.881,0.394,0.0365,105.997
