uri,name,album_name,release_date,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,Royals,Pure Heroine,2013-09-27,76,190185,0.674,0.426,-9.504,0.122,0.12,0.0,0.132,0.337,84.876
spotify:track:2MvvoeRt8NcOXWESkxWn3g,Ribs,Pure Heroine,2013-09-27,75,258969,0.525,0.472,-9.277,0.0739,0.534,0.614,0.11,0.0424,127.945
spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,Team,Pure Heroine,2013-09-27,73,193058,0.691,0.578,-7.436,0.106,0.167,0.0,0.305,0.412,99.984
spotify:track:6K8VQ84MqhsoakN5MjrnVR,Supercut,Melodrama,2017-06-16,73,277506,0.562,0.437,-10.229,0.052,0.219,2.18e-05,0.0806,0.15,124.852
spotify:track:6ie2Bw3xLj2JcGowOlcMhb,Green Light,Melodrama,2017-06-16,70,234652,0.594,0.721,-7.812,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942
spotify:track:51QEyJI5M7uyd8DOh9tqQY,Buzzcut Season,Pure Heroine,2013-09-27,67,246755,0.733,0.62,-10.525,0.0752,0.612,0.291,0.117,0.251,111.039
spotify:track:6Kkt27YmFyIFrcX3QXFi2o,Liability,Melodrama,2017-06-16,67,171727,0.587,0.229,-11.254,0.128,0.92,0.0,0.1,0.379,75.67
spotify:track:74fpNVAJrKGQuqHETi4WSt,Tennis Court,Pure Heroine,2013-09-27,65,198907,0.764,0.567,-8.585,0.0609,0.0126,9.08e-05,0.257,0.426,89.991
spotify:track:7ARveOiD31w2Nq0n5FsSf8,Perfect Places,Melodrama,2017-06-16,64,221874,0.622,0.58,-5.273,0.0504,0.00241,2.95e-05,0.112,0.512,104.41
spotify:track:7s2kWabRM60W9I61HpKg8C,Solar Power,Solar Power,2021-08-20,62,192621,0.73,0.483,-8.565,0.0879,0.237,7.99e-05,0.31,0.883,87.996
spotify:track:6rjtB7KSIiJ6v9vrACMlqF,400 Lux,Pure Heroine,2013-09-27,60,234286,0.516,0.474,-8.361,0.0377,0.0793,0.00338,0.134,0.192,183.95
spotify:track:5q4BpnMrYEFzLO0dYODj6J,The Louvre,Melodrama,2017-06-16,60,271088,0.664,0.382,-9.977,0.047,0.239,0.00749,0.0943,0.126,123.214
spotify:track:193Dm5SqYy3hTSbuzxbwKc,Writer In The Dark,Melodrama,2017-06-16,60,216610,0.325,0.271,-8.069,0.0418,0.73,0.0,0.301,0.279,71.855
spotify:track:60jI0JgMLLj1VggHJVhtRs,Glory And Gore,Pure Heroine,2013-09-27,59,210737,0.689,0.377,-8.761,0.0397,0.281,0.0,0.268,0.295,143.947
spotify:track:02oAUzv4M0ItuTDy2RT3IT,Homemade Dynamite,Melodrama,2017-06-16,57,189796,0.771,0.431,-5.423,0.0577,0.287,2.75e-06,0.0934,0.268,107.047
spotify:track:1Dp7JGFNjvg8Nk0CtMCcnr,Hard Feelings/Loveless,Melodrama,2017-06-16,56,367391,0.487,0.445,-10.959,0.113,0.0328,0.0104,0.0778,0.18,97.031
spotify:track:7eElVgPcxDqmgGrSwVFI74,Sober,Melodrama,2017-06-16,56,197235,0.796,0.467,-10.369,0.181,0.173,0.00411,0.126,0.516,107.901
spotify:track:55N0YHhO55Q1lWsc4dDPcI,A World Alone,Pure Heroine,2013-09-27,56,294222,0.562,0.485,-8.347,0.0359,0.289,0.00173,0.194,0.0665,118.01
spotify:track:7rb4dcBfW0m1LQQcDCh4Hv,Mood Ring,Solar Power,2021-08-20,55,225862,0.683,0.478,-10.435,0.0744,0.422,1.17e-05,0.24,0.373,95.011
spotify:track:38Zs2b75JPNB2tS7O7JQnS,Stoned at the Nail Salon,Solar Power,2021-08-20,55,266432,0.473,0.128,-12.303,0.0365,0.948,5.36e-05,0.101,0.0897,93.95
spotify:track:35kahykNu00FPysz3C2euR,White Teeth Teens,Pure Heroine,2013-09-27,54,216600,0.654,0.304,-9.067,0.0358,0.649,6.65e-05,0.147,0.102,113.992
spotify:track:54ucfuN596MU25jQD3KjCL,Sober II (Melodrama),Melodrama,2017-06-16,53,178639,0.524,0.312,-11.627,0.0444,0.166,4.79e-06,0.073,0.101,112.948
spotify:track:1toRu029yjgrleWg2w3gNU,Secrets from a Girl (Who's Seen it All),Solar Power,2021-08-20,52,218659,0.669,0.524,-9.485,0.0441,0.604,1.48e-05,0.122,0.574,88.012
spotify:track:4TYPnvjBbEfcDkk1UxpvYB,California,Solar Power,2021-08-20,50,191881,0.644,0.443,-10.043,0.0369,0.817,0.0,0.28,0.549,93.011
spotify:track:7JqqIi2ktnsNkYdQhKSCrz,The Path,Solar Power,2021-08-20,50,221240,0.605,0.647,-7.037,0.0451,0.429,0.0,0.103,0.0834,91.928
spotify:track:5TRZnGsX49uCZkXxIbD7Ru,Still Sane,Pure Heroine,2013-09-27,50,188133,0.36,0.361,-12.14,0.0463,0.664,0.00582,0.0682,0.0948,130.255
spotify:track:5iUnomffoLeQsdlY2k5TDU,Fallen Fruit,Solar Power,2021-08-20,47,238033,0.491,0.309,-11.169,0.0306,0.93,0.0187,0.165,0.11,124.91
spotify:track:78Sn3YMeqUgJBoe6zt940Z,Dominoes,Solar Power,2021-08-20,47,123147,0.643,0.338,-13.814,0.269,0.943,2.9e-05,0.109,0.675,158.692
spotify:track:2qWVIatUtl2xMCHEvn4j7j,Big Star,Solar Power,2021-08-20,47,167044,0.333,0.0635,-18.876,0.0477,0.974,4.28e-05,0.257,0.279,79.68
spotify:track:6kj8TeHSns33wt1Z1wdmMx,Oceanic Feeling,Solar Power,2021-08-20,46,399583,0.473,0.359,-13.094,0.0431,0.85,0.00115,0.12,0.185,113.364
spotify:track:188rKyWMsC4WsKKZ85lnUO,Hold No Grudge - Bonus Track,Solar Power (Deluxe Edition),2021-11-05,46,268733,0.661,0.336,-12.942,0.203,0.878,2.51e-05,0.0798,0.494,154.944
spotify:track:5luI0qmsWNYRRTJCWn8rcb,Helen of Troy - Bonus Track,Solar Power (Deluxe Edition),2021-11-05,46,171594,0.61,0.279,-12.62,0.136,0.911,6.38e-06,0.111,0.506,81.838
spotify:track:2mP9lPo7pv9k2HTVutEisM,The Man with the Axe,Solar Power,2021-08-20,45,255890,0.553,0.128,-15.25,0.0344,0.954,1.83e-05,0.163,0.14,78.053
spotify:track:6vLf0MjsXzrr3WIOWK9N9j,Leader of a New Regime,Solar Power,2021-08-20,43,93414,0.312,0.127,-16.331,0.0291,0.916,4.09e-06,0.189,0.117,90.807
